Date,Price,Open,High,Low,Change %
1995-07-11,82.25,82.25,82.25,82.25,-0.0069
1995-07-12,82.75,82.75,82.75,82.75,0.0060999999999999995
1995-07-13,83.0,83.0,83.0,83.0,0.003
1995-07-14,83.25,83.25,83.25,83.25,0.003
1995-07-17,83.75,83.75,83.75,83.75,0.006
1995-07-18,83.75,83.75,83.75,83.75,0.0
1995-07-19,83.25,83.25,83.25,83.25,-0.006
1995-07-20,83.25,83.25,83.25,83.25,0.0
1995-07-21,82.575,82.575,82.575,82.575,-0.008100000000000001
1995-07-25,83.5,83.5,83.5,83.5,0.011200000000000002
1995-07-26,83.5,83.5,83.5,83.5,0.0
1995-07-27,84.55,84.55,84.55,84.55,0.0126
1995-07-28,84.75,84.75,84.75,84.75,0.0024
1995-07-31,83.95,83.95,83.95,83.95,-0.009399999999999999
1995-08-01,84.2,84.2,84.2,84.2,0.003
1995-08-02,84.15,84.15,84.15,84.15,-0.0006
1995-08-03,84.1,84.1,84.1,84.1,-0.0006
1995-08-04,84.15,84.15,84.15,84.15,0.0006
1995-08-07,84.25,84.25,84.25,84.25,0.0012
1995-08-08,84.25,84.25,84.25,84.25,0.0
1995-08-09,84.0,84.0,84.0,84.0,-0.003
1995-08-10,83.5,83.5,83.5,83.5,-0.006
1995-08-14,84.3,84.3,84.3,84.3,0.0096
1995-08-15,84.35,84.35,84.35,84.35,0.0006
1995-08-16,83.75,83.75,83.75,83.75,-0.0070999999999999995
1995-08-17,84.45,84.45,84.45,84.45,0.0084
1995-08-18,84.75,84.75,84.75,84.75,0.0036
1995-08-21,84.55,84.55,84.55,84.55,-0.0024
1995-08-22,84.9,84.9,84.9,84.9,0.0040999999999999995
1995-08-23,84.65,84.65,84.65,84.65,-0.0029
1995-08-24,84.75,84.75,84.75,84.75,0.0012
1995-08-25,85.25,85.25,85.25,85.25,0.0059
1995-08-29,84.75,84.75,84.75,84.75,-0.0059
1995-08-30,84.85,84.85,84.85,84.85,0.0012
1995-08-31,85.15,85.15,85.15,85.15,0.0034999999999999996
1995-09-01,85.15,85.15,85.15,85.15,0.0
1995-09-04,85.0,85.0,85.0,85.0,-0.0018
1995-09-05,85.65,85.65,85.65,85.65,0.0076
1995-09-06,85.65,85.65,85.65,85.65,0.0
1995-09-07,85.25,85.25,85.25,85.25,-0.004699999999999999
1995-09-08,85.25,85.25,85.25,85.25,0.0
1995-09-11,85.15,85.15,85.15,85.15,-0.0012
1995-09-12,84.95,84.95,84.95,84.95,-0.0023
1995-09-13,84.95,84.95,84.95,84.95,0.0
1995-09-14,84.85,84.85,84.85,84.85,-0.0012
1995-09-15,84.8,84.8,84.8,84.8,-0.0006
1995-09-18,84.9,84.9,84.9,84.9,0.0012
1995-09-19,84.75,84.75,84.75,84.75,-0.0018
1995-09-20,85.5,85.5,85.5,85.5,0.0088
1995-09-21,84.0,84.0,84.0,84.0,-0.0175
1995-09-22,84.25,84.25,84.25,84.25,0.003
1995-09-25,84.0,84.0,84.0,84.0,-0.003
1995-09-26,83.83,83.83,83.83,83.83,-0.002
1995-09-27,83.75,83.75,83.75,83.75,-0.001
1995-09-28,83.75,83.75,83.75,83.75,0.0
1995-09-29,83.85,83.85,83.85,83.85,0.0012
1995-10-03,83.85,83.85,83.85,83.85,0.0
1995-10-04,84.7,84.7,84.7,84.7,0.0101
1995-10-05,83.5,83.5,83.5,83.5,-0.014199999999999999
1995-10-06,84.2,84.2,84.2,84.2,0.0084
1995-10-09,83.0,83.0,83.0,83.0,-0.0143
1995-10-10,83.0,83.0,83.0,83.0,0.0
1995-10-11,84.25,84.25,84.25,84.25,0.0151
1995-10-12,84.3,84.3,84.3,84.3,0.0006
1995-10-13,84.3,84.3,84.3,84.3,0.0
1995-10-16,84.5,84.5,84.5,84.5,0.0024
1995-10-18,84.95,84.95,84.95,84.95,0.0053
1995-10-19,85.05,85.05,85.05,85.05,0.0012
1995-10-20,84.95,84.95,84.95,84.95,-0.0012
1995-10-23,85.1,85.1,85.1,85.1,0.0018
1995-10-24,84.95,84.95,84.95,84.95,-0.0018
1995-10-25,84.95,84.95,84.95,84.95,0.0
1995-10-26,84.95,84.95,84.95,84.95,0.0
1995-10-27,85.75,85.75,85.75,85.75,0.009399999999999999
1995-10-30,85.75,85.75,85.75,85.75,0.0
1995-10-31,86.25,86.25,86.25,86.25,0.0058
1995-11-01,85.5,85.5,85.5,85.5,-0.0087
1995-11-02,87.25,87.25,87.25,87.25,0.020499999999999997
1995-11-03,86.355,86.355,86.355,86.355,-0.0103
1995-11-06,87.3,87.3,87.3,87.3,0.0109
1995-11-07,87.25,87.25,87.25,87.25,-0.0006
1995-11-08,87.4,87.4,87.4,87.4,0.0017000000000000001
1995-11-09,87.25,87.25,87.25,87.25,-0.0017000000000000001
1995-11-10,86.0,86.0,86.0,86.0,-0.0143
1995-11-13,87.75,87.75,87.75,87.75,0.0203
1995-11-15,88.75,88.75,88.75,88.75,0.011399999999999999
1995-11-16,88.75,88.75,88.75,88.75,0.0
1995-11-17,88.25,88.25,88.25,88.25,-0.005600000000000001
1995-11-20,88.25,88.25,88.25,88.25,0.0
1995-11-21,87.0,87.0,87.0,87.0,-0.014199999999999999
1995-11-24,86.75,86.75,86.75,86.75,-0.0029
1995-11-27,85.5,85.5,85.5,85.5,-0.0144
1995-11-28,87.4,87.4,87.4,87.4,0.0222
1995-11-29,86.0,86.0,86.0,86.0,-0.016
1995-11-30,86.5,86.5,86.5,86.5,0.0058
1995-12-01,84.5,84.5,84.5,84.5,-0.0231
1995-12-04,84.825,84.825,84.825,84.825,0.0038
1995-12-05,84.5,84.5,84.5,84.5,-0.0038
1995-12-06,84.5,84.5,84.5,84.5,0.0
1995-12-07,83.75,83.75,83.75,83.75,-0.0089
1995-12-08,83.75,83.75,83.75,83.75,0.0
1995-12-11,84.0,84.0,84.0,84.0,0.003
1995-12-12,84.0,84.0,84.0,84.0,0.0
1995-12-13,84.0,84.0,84.0,84.0,0.0
1995-12-14,83.0,83.0,83.0,83.0,-0.011899999999999999
1995-12-15,82.5,82.5,82.5,82.5,-0.006
1995-12-18,82.5,82.5,82.5,82.5,0.0
1995-12-19,83.5,83.5,83.5,83.5,0.0121
1995-12-20,83.5,83.5,83.5,83.5,0.0
1995-12-21,83.5,83.5,83.5,83.5,0.0
1995-12-27,83.5,83.5,83.5,83.5,0.0
1995-12-28,84.0,84.0,84.0,84.0,0.006
1996-01-03,84.5,84.5,84.5,84.5,0.006
1996-01-04,82.5,82.5,82.5,82.5,-0.023700000000000002
1996-01-05,82.5,82.5,82.5,82.5,0.0
1996-01-08,82.5,82.5,82.5,82.5,0.0
1996-01-09,84.1,84.1,84.1,84.1,0.0194
1996-01-10,84.1,84.1,84.1,84.1,0.0
1996-01-11,84.1,84.1,84.1,84.1,0.0
1996-01-12,84.1,84.1,84.1,84.1,0.0
1996-01-15,84.25,84.25,84.25,84.25,0.0018
1996-01-16,83.5,83.5,83.5,83.5,-0.0089
1996-01-17,84.75,84.75,84.75,84.75,0.015
1996-01-18,83.5,83.5,83.5,83.5,-0.0147
1996-01-19,84.6,84.6,84.6,84.6,0.0132
1996-01-22,84.4,84.4,84.4,84.4,-0.0024
1996-01-23,83.5,83.5,83.5,83.5,-0.010700000000000001
1996-01-24,84.55,84.55,84.55,84.55,0.0126
1996-01-25,85.0,85.0,85.0,85.0,0.0053
1996-01-26,85.0,85.0,85.0,85.0,0.0
1996-01-29,85.0,85.0,85.0,85.0,0.0
1996-01-30,84.5,84.5,84.5,84.5,-0.0059
1996-01-31,84.0,84.0,84.0,84.0,-0.0059
1996-02-01,84.0,84.0,84.0,84.0,0.0
1996-02-02,83.0,83.0,83.0,83.0,-0.011899999999999999
